"ID","时间","日降水量","flag","降水历时","天气状况","时段长","时段降水量","测站编码","时间戳"
"59","2019-02-21 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"60","2019-02-20 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"61","2019-02-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"62","2019-02-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"63","2019-02-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"64","2019-02-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"65","2019-02-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"66","2019-02-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"67","2019-02-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"68","2019-02-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"69","2019-01-22 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"70","2019-01-21 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"71","2019-01-20 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"72","2019-01-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"73","2019-01-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"74","2019-01-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"75","2019-01-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"76","2019-01-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"77","2019-01-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"78","2019-01-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"79","2019-01-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"80","2019-01-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"81","2019-01-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"82","2019-01-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"83","2019-01-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"84","2019-01-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"85","2019-01-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"86","2019-01-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"87","2019-01-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"88","2019-01-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"89","2019-01-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"90","2019-01-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"91","2018-12-31 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"92","2018-12-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"93","2018-12-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"94","2018-12-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"95","2018-12-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"96","2018-12-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"97","2018-12-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"98","2018-12-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"99","2018-10-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"100","2018-10-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"101","2018-10-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"102","2018-10-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"103","2018-10-22 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"104","2018-10-21 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"105","2018-10-20 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"106","2018-10-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"107","2018-10-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"108","2018-10-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"109","2018-10-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"110","2018-10-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"111","2018-10-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"112","2018-10-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"113","2018-10-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"114","2018-10-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"115","2018-10-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"116","2018-10-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"117","2018-10-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"118","2018-10-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"119","2018-10-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"120","2018-10-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"121","2018-10-04 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"122","2018-10-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"123","2018-10-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"124","2018-10-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"125","2018-09-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"126","2018-09-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"127","2018-09-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"128","2018-09-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"129","2018-09-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"130","2018-09-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"131","2018-09-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"132","2018-09-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"133","2018-09-22 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"134","2018-09-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"135","2018-09-12 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"136","2018-09-11 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"137","2018-09-10 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"138","2018-09-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"139","2018-09-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"140","2018-09-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"141","2018-09-06 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"142","2018-09-05 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"143","2018-09-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"144","2018-08-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"145","2018-08-15 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"146","2018-08-14 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"147","2018-08-13 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"148","2018-08-08 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"149","2018-08-07 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"150","2018-08-03 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"151","2018-08-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"152","2018-08-01 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"153","2018-07-31 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"154","2018-07-30 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"155","2018-07-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"156","2018-07-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"157","2018-07-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"158","2018-07-24 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"159","2018-07-23 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"160","2018-07-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"161","2018-07-16 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"162","2018-07-09 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"163","2018-07-02 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"164","2018-06-29 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"165","2018-06-28 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"166","2018-06-27 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"167","2018-06-26 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"168","2018-06-25 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"169","2018-06-21 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"170","2018-06-20 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"171","2018-06-19 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"172","2018-06-18 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
"173","2018-06-17 08:00:00","0.0","1",,"8","1.00","0.0","00000001","2019-07-11 14:39:40.0"
